"Load Name","PTID","Subzone","Zone"
"ENVIROGN_NY_MILLWOOD",408364,"NYSEG MILLWOOD","MILLWD"
"ENVIROGN_NY_MOHAWKVY",405364,"NYSEG MOHAWK VLY","MHK VL"
"ENVIROGN_NY_NORTH",404364,"NYSEG NORTH","NORTH"
"ENVIROGN_NY_WEST",401364,"NYSEG WEST","WEST"
"ENVIROGN_RG_GENESEE",802364,"RG&E GENESEE","GENESE"
"EONNAVT_VL_CAPITAL",988942,"NMPC CAPITAL","CAPITL"
"EONNAVT_VL_CENTRAL",982942,"NMPC CENTRAL","CENTRL"
"EONNAVT_VL_DUNWOODI",994942,"CON ED DUNWOODIE","DUNWOD"
"EONNAVT_VL_GENESEE",980942,"NMPC GENESEE","GENESE"
"EONNAVT_VL_HUDSONVY",990942,"O&R HUDSON VLY","HUD VL"
"EONNAVT_VL_LONG-ISL",998942,"LIPA LONG ISLAND","LONGIL"
"EONNAVT_VL_MILLWOOD",992942,"CON ED MILLWOOD","MILLWD"
"EONNAVT_VL_MOHAWKVY",986942,"NMPC MOHAWK VLY","MHK VL"
"EONNAVT_VL_NORTH",984942,"NMPC NORTH","NORTH"
"EONNAVT_VL_NY-CITY",996942,"CON ED NY CITY","N.Y.C."
"EONNAVT_VL_WEST",978942,"NMPC WEST","WEST"
"EONNAVT_VS_CAPITAL",989942,"NMPC CAPITAL","CAPITL"
